datierung,startdatum,enddatum,epoche,epoche_startdatum,epoche_enddatum
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 1 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2",-1294,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2",-1293,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2 – Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 2",-1293,-1277,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2, Monat 1, Jahreszeit ꜣḫ.t, Tag 7",-1293,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2, Monat 4, Jahreszeit šm.w, Tag 3",-1293,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2, Monat 4, Jahreszeit šm.w, Tag 3 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 2, Monat 1, Jahreszeit ꜣḫ.t, Tag 3",-1293,-1292,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit šm.w, Tag 18 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit ꜣḫ.t, Tag 15",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit šm.w, Tag 22 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit šm.w, Tag 25",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit ꜣḫ.t, Tag 10",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 1, Jahreszeit ꜣḫ.t, Tag 30",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 2, Jahreszeit pr.t, Tag 30 – Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 3, Jahreszeit pr.t, Tag 30",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 2, Jahreszeit šm.w, Tag 12",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 2, Jahreszeit šm.w, Tag 14",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 2, Jahreszeit ꜣḫ.t, Tag 30",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 3, Jahreszeit pr.t, Tag 10",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 3, Monat 4, Jahreszeit šm.w, Tag 20",-1292,-1291,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos I., Regierungsjahr 9 – Neues Reich, 19. Dynastie, Ramses II., Regierungsjahr 9",-1286,-1270,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II.",-1200,-1194,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II. – Neues Reich, 19. Dynastie, Siptah",-1200,-1188,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II., Monat 3, Jahreszeit ꜣḫ.t, Tag 24",-1200,-1194,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II., Regierungsjahr 1",-1200,-1199,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II., Regierungsjahr 4",-1197,-1196,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Sethos II., Regierungsjahr 4 – Neues Reich, 19. Dynastie, Siptah, Regierungsjahr 4",-1197,-1190,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Siptah",-1194,-1188,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Siptah – Neues Reich, 19. Dynastie, Tausret",-1194,-1186,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Siptah, Regierungsjahr 1 – Neues Reich, 19. Dynastie, Siptah, Regierungsjahr 2",-1194,-1192,Neues Reich,-1550,-1069
"Neues Reich, 19. Dynastie, Siptah, Regierungsjahr 1, Monat 3, Jahreszeit šm.w, Tag 19",-1194,-1193,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie",-1186,-1069,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Monat 2, Jahreszeit ꜣḫ.t, Tag 30 – Neues Reich, 20. Dynastie, Monat 4, Jahreszeit pr.t",-1186,-1069,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III.",-1184,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III. – Neues Reich, 20. Dynastie, Ramses IV.",-1184,-1147,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Monat 1, Jahreszeit pr.t, Tag 14 – Neues Reich, 20. Dynastie, Ramses III., Monat 2, Jahreszeit pr.t, Tag 30",-1184,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Monat 2, Jahreszeit pr.t, Tag 11 – Neues Reich, 20. Dynastie, Ramses III., Monat 3, Jahreszeit pr.t, Tag 15",-1184,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Monat 2, Jahreszeit pr.t, Tag 2 – Neues Reich, 20. Dynastie, Ramses III., Monat 2, Jahreszeit pr.t, Tag 20",-1184,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Monat 3, Jahreszeit ꜣḫ.t, Tag 23",-1184,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Monat 4, Jahreszeit ꜣḫ.t, Tag 15 – Neues Reich, 20. Dynastie, Ramses III., Monat 4, Jahreszeit ꜣḫ.t, Tag 18",-1184,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 16, Monat 3, Jahreszeit pr.t, Tag 23 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 16, Monat 1, Jahreszeit šm.w, Tag 5",-1169,-1168,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 17 – Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 7",-1168,-1147,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 19, Monat 1, Jahreszeit pr.t, Tag 1",-1166,-1165,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 21, Monat 4, Jahreszeit ꜣḫ.t, Tag 25",-1164,-1163,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 22, Monat 2, Jahreszeit šm.w, Tag 4 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 22, Monat 2, Jahreszeit šm.w, Tag 28",-1163,-1162,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 23, Tag 28 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 23, Monat 2, Jahreszeit ꜣḫ.t, Tag 8",-1162,-1161,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24",-1161,-1160,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 1, Jahreszeit pr.t, Tag 26 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 2, Jahreszeit pr.t, Tag 22",-1161,-1160,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 1, Jahreszeit šm.w, Tag 18 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 1, Jahreszeit šm.w, Tag 25",-1161,-1160,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 1, Jahreszeit ꜣḫ.t, Tag 5 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 1, Jahreszeit ꜣḫ.t, Tag 7",-1161,-1160,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 3, Jahreszeit pr.t, Tag 29",-1161,-1160,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 4, Jahreszeit šm.w, Tag 23 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 4, Jahreszeit šm.w, Tag 24",-1161,-1160,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Tag 21 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 24, Monat 3, Jahreszeit pr.t, Tag 26",-1161,-1160,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 25, Monat 4, Jahreszeit šm.w, Tag 6 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 25, Monat 4, Jahreszeit šm.w, Tag 30",-1160,-1159,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26",-1159,-1158,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 1, Jahreszeit ꜣḫ.t, Tag 10 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 1, Jahreszeit pr.t, Tag 20",-1159,-1158,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 2, Jahreszeit pr.t, Tag 9 – Neues Reich, 20. Dynastie, Ramses III.",-1159,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 2, Jahreszeit šm.w, Tag 11 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 2, Jahreszeit šm.w, Tag 28",-1159,-1158,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 2, Jahreszeit ꜣḫ.t, Tag 1 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Jahreszeit pr.t, Tag 6",-1159,-1158,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 3, Jahreszeit ꜣḫ.t – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 1, Jahreszeit pr.t, Tag 29",-1159,-1158,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 3, Jahreszeit ꜣḫ.t, Tag 14 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 27, Monat 3, Jahreszeit ꜣḫ.t, Tag 30",-1159,-1157,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 4, Jahreszeit pr.t, Tag 25 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 26, Monat 1, Jahreszeit šm.w, Tag 15",-1159,-1158,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 27, Monat 1, Jahreszeit pr.t, Tag 24",-1158,-1157,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 27, Monat 2, Jahreszeit pr.t, Tag 2 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 27, Monat 2, Jahreszeit pr.t, Tag 11",-1158,-1157,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 28 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 29",-1157,-1155,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 28 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 30",-1157,-1154,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 28, Monat 1, Jahreszeit ꜣḫ.t, Tag 17",-1157,-1156,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 29",-1156,-1155,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 29, Monat 2, Jahreszeit ꜣḫ.t, Tag 21 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 29, Monat 2, Jahreszeit ꜣḫ.t, Tag 23",-1156,-1155,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 29, Monat 4, Jahreszeit ꜣḫ.t, Tag 20 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 29, Monat 4, Jahreszeit šm.w, Tag 30",-1156,-1155,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 30, Monat 1, Jahreszeit šm.w, Tag 2 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 30, Monat 1, Jahreszeit šm.w, Tag 14",-1155,-1154,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 30, Monat 4, Jahreszeit šm.w, Tag 2 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 30, Monat 2, Jahreszeit ꜣḫ.t, Tag 10",-1155,-1154,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 31",-1154,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 31, Monat 1, Jahreszeit šm.w, Tag 26 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 31, Monat 1, Jahreszeit šm.w, Tag 29",-1154,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 31, Monat 2, Jahreszeit pr.t, Tag 30",-1154,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 31, Monat 2, Jahreszeit šm.w, Tag 3 – Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 31, Monat 2, Jahreszeit šm.w, Tag 4",-1154,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Regierungsjahr 6, Monat 1, Jahreszeit ꜣḫ.t, Tag 15",-1179,-1178,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Tag 3 – Neues Reich, 20. Dynastie, Ramses III., Tag 21",-1184,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Tag 4 – Neues Reich, 20. Dynastie, Ramses III., Tag 23",-1184,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses III., Tag 6 – Neues Reich, 20. Dynastie, Ramses III., Tag 12",-1184,-1153,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV.",-1153,-1147,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV. – Neues Reich, 20. Dynastie",-1153,-1069,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV. – Neues Reich, 20. Dynastie, Ramses V.",-1153,-1143,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Monat 1, Jahreszeit pr.t, Tag 1 – Neues Reich, 20. Dynastie, Ramses IV., Monat 1, Jahreszeit pr.t, Tag 16",-1153,-1147,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Monat 2, Jahreszeit pr.t, Tag 18",-1153,-1147,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1",-1153,-1152,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 1, Jahreszeit šm.w, Tag 1 – Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 2, Monat 3, Jahreszeit ꜣḫ.t, Tag 15",-1153,-1151,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 1, Jahreszeit šm.w, Tag 2",-1153,-1152,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 2, Jahreszeit pr.t, Tag 22",-1153,-1152,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 2, Jahreszeit ꜣḫ.t",-1153,-1152,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 3, Jahreszeit pr.t, Tag 1 – Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 3, Jahreszeit pr.t, Tag 30",-1153,-1152,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 3, Jahreszeit šm.w, Tag 1 – Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 2, Monat 4, Jahreszeit šm.w, Tag 16",-1153,-1151,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 3, Jahreszeit ꜣḫ.t, Tag 1 – Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 3, Jahreszeit ꜣḫ.t, Tag 21",-1153,-1152,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1, Monat 4, Jahreszeit šm.w, Tag 22 – Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 1",-1153,-1152,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 2",-1152,-1151,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 2 – Neues Reich, 20. Dynastie, Ramses V., Regierungsjahr 2",-1152,-1145,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 2, Tag 10 – Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 2, Tag 30",-1152,-1151,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 3, Monat 2, Jahreszeit ꜣḫ.t, Tag 12 – Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 3, Monat 2, Jahreszeit ꜣḫ.t",-1151,-1150,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 4",-1150,-1149,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 4, Monat 1, Jahreszeit pr.t, Tag 7",-1150,-1149,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 5",-1149,-1148,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 5 – Neues Reich, 20. Dynastie, Ramses IV.",-1149,-1147,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 5, Monat 4, Jahreszeit ꜣḫ.t, Tag 24 – Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 5, Monat 4, Jahreszeit ꜣḫ.t, Tag 25",-1149,-1148,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Regierungsjahr 6, Monat 2, Jahreszeit ꜣḫ.t, Tag 5 – Neues Reich, 20. Dynastie, Ramses VI., Regierungsjahr 6, Monat 2, Jahreszeit ꜣḫ.t, Tag 5",-1148,-1137,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IV., Tag 20 – Neues Reich, 20. Dynastie, Ramses VII.",-1153,-1129,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IX., Regierungsjahr 14, Monat 3, Jahreszeit ꜣḫ.t, Tag 20 – Neues Reich, 20. Dynastie, Ramses IX., Regierungsjahr 14, Monat 3, Jahreszeit ꜣḫ.t, Tag 24",-1113,-1112,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IX., Regierungsjahr 16",-1111,-1110,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IX., Regierungsjahr 17",-1110,-1109,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IX., Regierungsjahr 17 – Neues Reich, 20. Dynastie, Ramses XI.",-1110,-1069,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses IX., Regierungsjahr 9",-1118,-1117,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses VI., Regierungsjahr 1, Monat 3, Jahreszeit šm.w, Tag 5 – Neues Reich, 20. Dynastie, Ramses VI., Regierungsjahr 1, Monat 3, Jahreszeit šm.w, Tag 14",-1143,-1142,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses XI.",-1099,-1069,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses XI., Regierungsjahr 1, Monat 4, Jahreszeit ꜣḫ.t, Tag 12",-1099,-1098,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses XI., Regierungsjahr 10",-1090,-1089,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses XI., Regierungsjahr 2",-1098,-1097,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses XI., Regierungsjahr 3",-1097,-1096,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Ramses XI., Regierungsjahr 6",-1094,-1093,Neues Reich,-1550,-1069
"Neues Reich, 20. Dynastie, Regierungsjahr 28, Monat 3, Jahreszeit šm.w, Tag 26 – Neues Reich, 20. Dynastie, Regierungsjahr 28, Monat 4, Jahreszeit šm.w, Tag 27",-1159,-1158,Neues Reich,-1550,-1069
"Neues Reich, Regierungsjahr 3, Monat 1, Jahreszeit pr.t, Tag 1 – Neues Reich",-1548,-1069,Neues Reich,-1550,-1069
"Spätzeit, 26. Dynastie",-664,-525,Spätzeit,-664,-513
"Spätzeit, 26. Dynastie, Amasis Chenemibre",-570,-526,Spätzeit,-664,-513
"Spätzeit, 26. Dynastie, Amasis Chenemibre, Regierungsjahr 5, Monat 4, Jahreszeit pr.t, Tag 11",-566,-565,Spätzeit,-664,-513
"Spätzeit, 26. Dynastie, Apries Haaibre, Regierungsjahr 1, Monat 2, Jahreszeit pr.t",-589,-588,Spätzeit,-664,-513
"Spätzeit, 26. Dynastie, Psammetich I.",-664,-610,Spätzeit,-664,-513
"Spätzeit, 26. Dynastie, Psammetich I., Regierungsjahr 14, Monat 1, Jahreszeit šm.w, Tag 5",-651,-650,Spätzeit,-664,-513
"Spätzeit, 27. Dynastie, Dareios I. Setutre, Regierungsjahr 35, Tag 1, Phaophi – Spätzeit, 27. Dynastie, Dareios I. Setutre, Regierungsjahr 35, Tag 30, Phaophi",-488,-487,Spätzeit,-664,-513
"Spätzeit, 27. Dynastie, Dareios I. Setutre, Regierungsjahr 9, Phamenoth",-514,-513,Spätzeit,-664,-513
"Zweite Zwischenzeit, 13. Dynastie",-1773,-1650,Zweite Zwischenzeit,-1773,-1504
"Zweite Zwischenzeit, 13. Dynastie, Chendjer Userkare – Zweite Zwischenzeit, 13. Dynastie, Sobekhotep III.",-1773,-1650,Zweite Zwischenzeit,-1773,-1504
"Zweite Zwischenzeit, 15. Dynastie – Zweite Zwischenzeit, 17. Dynastie",-1650,-1550,Zweite Zwischenzeit,-1773,-1504
"Zweite Zwischenzeit, 15. Dynastie, Apopi, Regierungsjahr 33, Monat 4, Jahreszeit ꜣḫ.t",-1650,-1550,Zweite Zwischenzeit,-1773,-1504
"Zweite Zwischenzeit, 17. Dynastie",-1580,-1550,Zweite Zwischenzeit,-1773,-1504
"Zweite Zwischenzeit, 17. Dynastie – Neues Reich, 18. Dynastie",-1580,-1295,Zweite Zwischenzeit,-1773,-1504
"Zweite Zwischenzeit, 17. Dynastie – Neues Reich, 18. Dynastie, Amenhotep I.",-1580,-1504,Zweite Zwischenzeit,-1773,-1504